fid,Pressure_h,Temperatur,Humidity_p,Radiation_,UV_mWcm2,Latitude,Longitude,Altitude_m,SO2_October_2025,O3_October_2025,NO2_October_2025,CO_October_2025,UVAI_October_2025
682,774.6,30.64,54.29,24,0.53,25.294338,76.216842,2208.34397323305,-0.00006,0.12494,0.00002,0.02931,-0.43874
683,776.11,6.95,68.31,60,1.24,25.545462,76.841535,2192.73333871459,0,0.12478,0.00003,0.02906,-0.14898
684,776.25,30.67,53.64,24,0.6,25.294338,76.216842,2191.28724125948,-0.00006,0.12494,0.00002,0.02931,-0.43874
685,778.02,7.05,68.33,72,1.24,25.545356,76.841799,2173.02262669348,0,0.12478,0.00003,0.02906,-0.14898
686,778.04,30.7,53.94,0,0.49,25.294436,76.216377,2172.81643919207,-0.00006,0.12494,0.00002,0.02931,-0.43874
687,779.82,30.72,54.17,36,0.5,25.294582,76.216179,2154.48291646556,-0.00006,0.12494,0.00002,0.02931,-0.43874
688,779.87,7.15,68.62,36,1.26,25.545356,76.841799,2153.96841936641,0,0.12478,0.00003,0.02906,-0.14898
689,781.54,30.74,53.88,36,0.5,25.294571,76.215995,2136.79954108143,-0.00006,0.12494,0.00002,0.02931,-0.43874
690,781.78,7.28,69.93,48,1.18,25.545032,76.842179,2134.33459933046,0.00038,0.1249,0.00002,0.0291,-0.18331
691,783.24,30.78,54.26,36,0.45,25.294636,76.21575,2119.35272459272,-0.00006,0.12494,0.00002,0.02931,-0.43874
692,783.67,7.38,70.66,36,1.15,25.544816,76.842251,2114.94456566081,0.00038,0.1249,0.00002,0.0291,-0.18331
693,785.01,30.79,53.7,24,0.51,25.294602,76.215506,2101.22006237376,-0.00006,0.12494,0.00002,0.02931,-0.43874
694,785.61,7.49,70.98,12,1.13,25.544613,76.842258,2095.08091036155,0.00038,0.1249,0.00002,0.0291,-0.18331
695,786.58,30.82,54.04,12,0.59,25.294656,76.215233,2085.16397356844,-0.00006,0.12494,0.00002,0.02931,-0.43874
696,787.48,7.58,71.23,48,1.1,25.544613,76.842258,2075.97154456245,0.00038,0.1249,0.00002,0.0291,-0.18331
697,788.37,30.85,53.73,48,0.52,25.294653,76.215062,2066.88961562931,-0.00006,0.12494,0.00002,0.02931,-0.43874
698,789.45,7.67,71.3,36,1.11,25.544527,76.84214,2055.87999091899,0.00038,0.1249,0.00002,0.0291,-0.18331
699,789.97,30.87,54.55,12,0.43,25.294627,76.214762,2050.58340968702,-0.00006,0.12494,0.00002,0.02931,-0.43874
700,791.19,7.74,71.4,84,1.11,25.54458,76.842109,2038.16788807397,0.00038,0.1249,0.00002,0.0291,-0.18331
701,791.72,30.9,54.1,24,0.43,25.294614,76.214565,2032.7790894268,-0.00006,0.12494,0.00002,0.02931,-0.43874
702,793.12,7.8,71.07,36,1.12,25.544701,76.842179,2018.55856283735,0.00038,0.1249,0.00002,0.0291,-0.18331
703,793.27,30.93,54.61,0,0.43,25.294583,76.214314,2017.03614082736,-0.00006,0.12494,0.00002,0.02931,-0.43874
704,794.76,30.96,54.3,0,0.38,25.294549,76.214009,2001.92605975849,-0.00006,0.12494,0.00002,0.02931,-0.43874
705,795.11,7.9,71.19,36,1.08,25.544826,76.84233,1998.38003915374,0.00038,0.1249,0.00002,0.0291,-0.18331
706,796.45,30.97,54.61,60,0.5,25.294514,76.2,1984.81551808489,-0.00006,0.12529,0.00002,0.02926,-0.05394
707,796.96,8,71.49,48,1.05,25.544826,76.84233,1979.65775670155,0.00038,0.1249,0.00002,0.0291,-0.18331
708,798.15,30.99,53.91,12,0.46,25.294444,76.213447,1967.63336569152,-0.00006,0.12494,0.00002,0.02931,-0.43874
709,798.93,8.09,71.65,60,1.21,25.545024,76.842648,1959.75970580809,0.00038,0.1249,0.00002,0.0291,-0.18331
710,799.91,31.04,54.34,12,0.51,25.294473,76.213207,1949.87597717773,-0.00006,0.12494,0.00002,0.02931,-0.43874
711,800.93,8.17,71.79,36,1.19,25.545085,76.842968,1939.5992391268,0.00038,0.1249,0.00002,0.0291,-0.18331
712,801.76,31.07,54.95,24,0.51,25.294468,76.212899,1931.24461284302,-0.00006,0.12529,0.00002,0.02926,-0.05394
713,802.8,8.26,71.85,48,1.24,25.544977,76.843358,1920.78604515642,0.00038,0.1249,0.00002,0.0291,-0.18331
714,804.43,31.05,54.62,24,0.56,25.294378,76.212524,1904.41630242519,-0.00006,0.12529,0.00002,0.02926,-0.05394
715,804.78,8.36,72.29,24,1.22,25.544792,76.843697,1900.90483027253,0.00038,0.1249,0.00002,0.0291,-0.18331
