fid,Pressure_h,Radiation_,UV_mWcm2,Latitude,Longitude,Altitude_m,aod55_Octo,aod47_Octo,UVAI_Octob
761,851.53,60,1.07,25.546334,76.849096,1442.61292313172,0,0,-1.70276
762,851.59,60,0.25,25.293353,76.208762,1442.03797784569,0,0,-1.71366
763,853.38,48,0.99,25.546334,76.849096,1424.90051094694,0,0,-1.70276
764,853.44,12,0.27,25.293369,76.208549,1424.32657508833,0,0,-1.71366
765,855.23,60,1.03,25.546728,76.849688,1407.21916375675,0,0,-1.70276
766,855.26,24,0.28,25.293369,76.208549,1406.93269449671,0,0,-1.71366
767,857.07,12,1.06,25.546961,76.850074,1389.66408468027,0,0,-1.70276
768,857.1,48,0.28,25.293313,76.208182,1389.37811350776,0,0,-1.71366
769,858.88,36,0.3,25.29323,76.208016,1372.42497973905,0,0,-1.71366
770,858.92,60,1.15,25.547191,76.850477,1372.0443374127,0,0,-1.70276
771,860.71,12,0.31,25.293302,76.207815,1355.02526843747,0,0,-1.71366
772,860.86,24,1.13,25.547364,76.85095,1353.60039134277,0,0,-1.70276
773,862.43,24,0.33,25.293266,76.207634,1338.69872906062,0,0,-1.71366
774,862.64,12,1.15,25.547364,76.85095,1336.70717902372,0,0,-1.70276
775,864.3,12,0.33,25.293293,76.207421,1320.97825159387,0,0,-1.71366
776,864.53,0,1.15,25.54755,76.851879,1318.80087223687,0,0,-1.70276
777,866.2,12,0.35,25.293217,76.207269,1303.00525641805,0,0,-1.71366
778,866.44,36,1.13,25.547579,76.85237,1300.73725480373,0,0,-1.70276
779,868.16,12,0.34,25.293265,76.206952,1284.4981127659,0,0,-1.71366
780,868.38,0,0.98,25.547567,76.852827,1282.42289286013,0,0,-1.70276
781,869.9,12,0.31,25.293265,76.206952,1268.09662979064,0,0,-1.71366
782,870.21,12,1.01,25.547531,76.853262,1265.1773150244,0,0,-1.70276
783,871.82,24,0.33,25.293253,76.206834,1250.02924208485,0,0,-1.71366
784,872.29,12,1.02,25.547531,76.853262,1245.61140551646,0,0,-1.70276
785,873.83,24,0.32,25.293222,76.206743,1231.14943272058,0,0,-1.71366
786,874.28,36,1.01,25.54772,76.853981,1226.92742810371,0,0,-1.70276
787,875.65,0,0.31,25.293232,76.206583,1214.08459382347,0,0,-1.71366
788,876.42,60,1,25.547933,76.854152,1206.87349908248,0,0,-1.70276
